# Daily average weather data retrieved from meteoblue
# https://www.meteoblue.com/en/historyplus
#
date,wave,period,wind
20010123T1300,0.2,3,8.553055
20010123T1400,0.2,2.9,9.550277
20010123T1500,0.2,2.9,10.0171385
20010123T1600,0.1,2.7,9.516054
20010123T1700,0.1,2.7,7.77138
20010123T1800,0.1,2.7,7.000821
20010123T1900,0.1,2.8,6.8171782
20010123T2000,0.1,2.8,6.8648705
20010123T2100,0.1,2.8,6.1046004
20010123T2200,0.1,3.1,5.7055674
20010123T2300,0.1,3.1,6.6010485
20010124T0000,0.1,3.1,7.1696634
20010124T0100,0.1,3,6.666623
20010124T0200,0.1,3,6.5181518
20010124T0300,0.1,3,6.383279
20010124T0400,0.1,2.6,5.452147
20010124T0500,0.1,2.4,5.756171
20010124T0600,0.1,2.3,6.193034
20010124T0700,0.1,2.3,5.7055674
20010124T0800,0.1,2.4,5.9115205
20010124T0900,0.2,2.5,8.616396
20010124T1000,0.2,2.7,9.929906
20010124T1100,0.2,2.7,11.321834
20010124T1200,0.2,2.7,12.658196
20010124T1300,0.2,2.7,12.769398
20010124T1400,0.2,2.6,10.770494
20010124T1500,0.2,2.5,8.591115
20010124T1600,0.2,2.4,6.880694
20010124T1700,0.1,2.4,6.2802234
20010124T1800,0.1,2.4,5.544451
20010124T1900,0.1,2.4,5.8250356
20010124T2000,0.1,2.4,6.1046004
20010124T2100,0.1,2.4,6.484697
20010124T2200,0.1,2.5,7.113828
20010124T2300,0.1,2.5,7.7105002
20010125T0000,0.1,2.5,7.250111
20010125T0100,0.1,2.6,7.154479
20010125T0200,0.1,2.8,6.4002934
20010125T0300,0.1,3,4.5774603
20010125T0400,0.2,3.2,1.7241204
20010125T0500,0.2,3.5,0.761589
20010125T0600,0.2,3.7,3.807945
20010125T0700,0.2,3.8,10.679232
20010125T0800,0.3,4.5,14.7136545
20010125T0900,0.4,5,17.203316
20010125T1000,0.5,5.4,20.566427
20010125T1100,0.5,5.3,20.577
20010125T1200,0.6,5.2,19.45409
20010125T1300,0.5,4.9,17.96204
20010125T1400,0.5,4.5,16.862791
20010125T1500,0.4,4.2,15.563737
20010125T1600,0.4,4.1,14.21746
20010125T1700,0.4,4.1,13.086263
20010125T1800,0.4,4.2,12.49389
20010125T1900,0.4,4.2,12.068843
20010125T2000,0.4,4.2,11.8597765
20010125T2100,0.3,4.2,11.653182
20010125T2200,0.3,4.3,11.24795
20010125T2300,0.3,4.3,11.423834
20010126T0000,0.3,4.3,10.894317
20010126T0100,0.3,4.3,9.640946
20010126T0200,0.3,4.3,8.737554
20010126T0300,0.3,4.3,7.5872765
20010126T0400,0.3,4.3,5.9053845
20010126T0500,0.3,4.3,4.7024655
20010126T0600,0.3,4.4,7.250111
20010126T0700,0.3,4.3,7.154479
20010126T0800,0.3,4.3,7.000822
20010126T0900,0.3,4.3,7.113828
20010126T1000,0.3,4.2,7.245109
20010126T1100,0.3,4.3,8.586895
20010126T1200,0.2,4.3,9.756814
20010126T1300,0.2,4.2,10.178688
20010126T1400,0.2,3.9,9.966346
20010126T1500,0.2,3.7,8.586895
20010126T1600,0.2,3.7,7.047271
20010126T1700,0.2,3.7,5.9298882
20010126T1800,0.2,3.8,5.8250356
20010126T1900,0.2,3.8,5.303853
20010126T2000,0.1,3.8,4.118922
20010126T2100,0.1,3.7,2.8111815
20010126T2200,0.1,3.9,2.3005786
20010126T2300,0.1,3.9,2.9740999
20010127T0000,0.1,3.8,3.5004106
20010127T0100,0.1,3.7,4.101282
20010127T0200,0.1,3.7,5.5248017
20010127T0300,0.1,3.6,6.2802234
20010127T0400,0.1,3.5,6.4002934
20010127T0500,0.1,3.5,4.180076
20010127T0600,0.1,3.4,3.592408
20010127T0700,0.1,3.3,1.3463118
20010127T0800,0.1,2.7,4.4407887
20010127T0900,0.2,3.1,9.4549055
20010127T1000,0.2,3.4,13.761388
20010127T1100,0.3,3.6,16.589708
20010127T1200,0.4,3.6,17.732517
20010127T1300,0.4,3.8,18.2821
20010127T1400,0.5,4.1,17.933762
20010127T1500,0.5,4.4,18.168726
20010127T1600,0.5,4.7,18.51656
20010127T1700,0.5,5.2,19.054949
20010127T1800,0.5,5.3,19.039724
20010127T1900,0.6,5.4,18.850288
20010127T2000,0.6,5.5,18.096754
20010127T2100,0.6,5.6,18.477362
20010127T2200,0.6,5.8,19.276253
20010127T2300,0.6,5.8,19.48016
20010128T0000,0.6,5.8,18.87335
20010128T0100,0.6,5.8,18.293995
20010128T0200,0.6,5.8,17.707968
20010128T0300,0.6,6,18.2821
20010128T0400,0.6,6.2,19.231064
20010128T0500,0.7,6.6,21.718643
20010128T0600,0.7,6.9,22.72198
20010128T0700,0.8,6.9,23.340559
20010128T0800,0.8,7,24.348522
20010128T0900,0.8,6.8,25.316393
20010128T1000,0.8,6.9,24.098606
20010128T1100,0.8,6.9,25.204454
20010128T1200,0.9,6.9,25.158384
20010128T1300,0.8,6.8,24.579687
20010128T1400,0.8,6.5,23.045147
20010128T1500,0.8,6.3,21.708626
20010128T1600,0.7,6.3,20.754173
20010128T1700,0.7,6.1,19.815954
20010128T1800,0.7,6,19.45409
20010128T1900,0.7,5.9,19.073965
20010128T2000,0.6,5.9,19.276253
20010128T2100,0.6,5.7,18.75582
20010128T2200,0.6,5.5,18.154755
20010128T2300,0.6,5.3,16.901442
20010129T0000,0.5,5.1,15.293533
20010129T0100,0.5,5,14.055909
20010129T0200,0.5,4.9,13.061305
20010129T0300,0.4,4.9,12.262528
20010129T0400,0.4,4.8,10.77386
20010129T0500,0.4,5,11.039757
20010129T0600,0.5,5.1,16.318722
20010129T0700,0.5,5.2,17.327194
20010129T0800,0.6,5.3,16.772257
20010129T0900,0.6,5.4,16.80896
20010129T1000,0.6,5.5,17.22648
20010129T1100,0.6,5.5,18.058655
20010129T1200,0.6,5.6,19.270609
20010129T1300,0.6,5.7,20.649105
20010129T1400,0.6,5.4,20.808249
